category,productCategory,sku,model
Cables and Adapters,Lightning Connector,99MO084043,Integra USB-C charge/sync cable with Lightning connector 0.25M - Gray
Cables and Adapters,Type C Connector,99MO084044,Integra? USB-C to USB-A Charge Cable (0.25M) - Titanium Gray
Cables and Adapters,Lightning Connector,99MO084045,Integra USB-C Charge/Sync Cable with Lightning connector 90-degree 1.5M - Gray
Cables and Adapters,Type C Connector,99MO084100,USB-C Charge Cable (2m) - White
Cables and Adapters,Type C Connector,99MO084101,USB-C to USB Cable - White
Cables and Adapters,Type C Connector,99MO084102,USB-C to DisplayPort Cable - White
Cables and Adapters,Type C Connector,99MO084103,USB-C to HDMI Cable - White
Cables and Adapters,Lightning Connector,99MO084105,Integra USB-C charge/sync cable with Lightning connector 1.2M - Silver
Cables and Adapters,Type C Connector,99MO084200,USB-C to USB Adapter - Silver
Cables and Adapters,Type C Connector,99MO084201,USB-C to VGA Adapter - Silver
Cables and Adapters,Type C Connector,99MO084202,USB-C to HDMI Adapter - Silver
Cables and Adapters,Type C Connector,99MO084203,USB-C to Gigabit Ethernet Adapter - Sliver
Cables and Adapters,Type C Connector,99MO084204,USB-C Multiport Adapter - Silver
Cables and Adapters,Hub,99MO084205,Symbus (US) - Silver
Cables and Adapters,Type C Connector,99MO084207,USB-C Multiport Adapter - Golden Rose
Cables and Adapters,Type C Connector,99MO084211,Integra? USB-C to USB-A Charge/Sync Cable - Titanium Gray
Cables and Adapters,Type C Connector,99MO084212,Integra? USB-C to USB-C Charge/Sync Cable - Titanium Gray
Cables and Adapters,Hub,99MO084213,USB-C Multimedia Adapter - Titanium Gray
Cables and Adapters,Type C Connector,99MO084214,USB-C to Dual USB-A Adapter - Titanium Gray
Cables and Adapters,Hub,99MO084216,Symbus Q (EU/UK) - Nordic Gray
Cables and Adapters,Hub,99MO084218,Symbus Q (US) - Nordic Gray
Cables and Adapters,Type C Connector,99MO084241,USB-C Digital Audio Adapter - Silver
Cables and Adapters,Type C Connector,99MO084244,Integra? USB-C Charge Cable (1m) - Jet Silver
Cables and Adapters,Type C Connector,99MO084245,Integra? USB-C Charge Cable with Smart LED - Jet Silver
Cables and Adapters,Type C Connector,99MO084249,USB-C Digital Audio Adapter with Charging (Universal) - Silver
Cables and Adapters,Type C Connector,99MO084272,USB-C to HDMI Adapter with Charging - Titanium Gray
Cables and Adapters,Type C Connector,99MO084206,USB-C Multiport Adapter - Satin Gold
Cables and Adapters,Hub,99MO084209,Symbus (EU/UK) - Silver
Cables and Adapters,Connector,99MO023051,Xync (Micro USB) - Black
Cables and Adapters,Type C Connector,99MO084246,USB-C Digital Audio Adapter with Charging (MFG) - Silver
Cables and Adapters,Connector,99MO023901,FireWire 800 to 400 adapter - White
Cables and Adapters,Connector,99MO023103,Firewire 800 cable - 6 ft (1.8M) - White
Cables and Adapters,Hub,99MO084219,USB-C Multimedia Adapter (Microsoft) - Titanium Gray
